"","Gene","count","Disease_specificity"
"366","TBC1D20",306,0.067178924259056
"367","PROKR2",569,0.124917672886937
"368","TANC2",353,0.0774972557628979
"369","MYH3",1016,0.223051591657519
"370","EIF2AK3",439,0.096377607025247
"371","BUB1",300,0.0658616904500549
"372","PLP1",621,0.136333699231614
"373","HACD1",185,0.0406147091108672
"374","L1CAM",467,0.102524698133919
"375","PTHLH",128,0.0281009879253568
"376","TRNH",305,0.0669593852908891
"377","MAD2L2",395,0.0867178924259056
"378","TBX15",331,0.0726673984632272
"379","SELENON",560,0.122941822173436
"380","COL11A1",978,0.214709110867179
"381","SOX4",349,0.0766190998902305
"382","STAG2",858,0.188364434687157
"383","BBS1",319,0.070032930845225
"384","KCNC3",166,0.036443468715697
"385","SZT2",195,0.0428100987925357
"386","PRKG1",168,0.0368825466520307
"387","SLC34A3",211,0.0463227222832053
"388","POLR1A",131,0.0287596048298573
"389","BRPF1",110,0.0241492864983535
"390","PWRN1",270,0.0592755214050494
"391","MLXIPL",389,0.0854006586169045
"392","DONSON",263,0.0577387486278814
"393","IGF1R",277,0.0608122941822173
"394","LIMK1",568,0.124698133918771
"395","SMPD4",189,0.0414928649835346
"396","CHST3",692,0.15192096597146
"397","SMAD3",596,0.130845225027442
"398","ARID2",424,0.0930845225027442
"399","EXOSC2",130,0.0285400658616905
"400","GLA",322,0.0706915477497256
"401","SF3B4",529,0.116136114160263
"402","LAMTOR2",88,0.0193194291986828
"403","MYLPF",138,0.0302963776070252
"404","FOXG1",394,0.0864983534577387
"405","IFT52",270,0.0592755214050494
"406","COL10A1",206,0.045225027442371
"407","EHMT1",563,0.123600439077936
"408","UBE2T",392,0.086059275521405
"409","FAM111A",331,0.0726673984632272
"410","FLCN",332,0.0728869374313941
"411","MVK",585,0.128430296377607
"412","PEX11B",508,0.11152579582876
"413","KDM6A",701,0.153896816684962
"414","RSPH9",203,0.0445664105378705
"415","PPM1D",119,0.0261251372118551
"416","SUFU",1007,0.221075740944018
"417","PDE11A",138,0.0302963776070252
"418","TAF6",109,0.0239297475301866
"419","FBN1",1635,0.358946212952799
"420","AMMECR1",425,0.0933040614709111
"421","IYD",85,0.0186608122941822
"422","TBX6",154,0.0338090010976948
"423","ORC6",408,0.0895718990120746
"424","MRAP",149,0.0327113062568606
"425","RPS7",296,0.0649835345773875
"426","ARL6",509,0.111745334796926
"427","PTPN11",840,0.184412733260154
"428","SCN3A",257,0.0564215148188804
"429","PEX14",517,0.113501646542261
"430","HHAT",211,0.0463227222832053
"431","NIPBL",747,0.163995609220637
"432","BRSK2",126,0.0276619099890231
"433","RNU4ATAC",1188,0.260812294182217
"434","CTSK",243,0.0533479692645445
"435","LEPR",204,0.0447859495060373
"436","C1S",134,0.0294182217343579
"437","FAM50A",65,0.0142700329308452
"438","DGCR8",165,0.0362239297475302
"439","KYNU",210,0.0461031833150384
"440","ABCA12",312,0.0684961580680571
"441","CRIPT",149,0.0327113062568606
"442","PRPS1",654,0.14357848518112
"443","EHHADH",138,0.0302963776070252
"444","MYH11",331,0.0726673984632272
"445","TUBGCP4",141,0.0309549945115258
"446","HELLS",156,0.0342480790340285
"447","NBN",436,0.0957189901207464
"448","PEX13",556,0.122063666300768
"449","IFT27",178,0.0390779363336992
"450","COG1",420,0.0922063666300768
"451","COL6A1",449,0.0985729967069155
"452","XYLT1",605,0.132821075740944
"453","DHCR24",372,0.0816684961580681
"454","GNPTAB",640,0.140504939626784
"455","NONO",507,0.111306256860593
"456","RNF135",107,0.0234906695938529
"457","CANT1",460,0.100987925356751
"458","MEN1",739,0.162239297475302
"459","MIR140",216,0.0474204171240395
"460","PIK3R1",520,0.114160263446762
"461","TCTN3",642,0.140944017563117
"462","MESP2",258,0.0566410537870472
"463","TPM3",768,0.168605927552141
"464","EPG5",367,0.0805708013172338
"465","NOG",799,0.175411635565313
"466","GLI2",1542,0.338529088913282
"467","NODAL",1184,0.25993413830955
"468","TMEM38B",51,0.0111964873765093
"469","CARMIL2",160,0.0351262349066959
"470","NAA10",813,0.178485181119649
"471","ZEB2",1115,0.244785949506037
"472","LEMD3",401,0.0880351262349067
"473","GRM1",188,0.0412733260153677
"474","PLOD2",150,0.0329308452250274
"475","PPP1R15B",407,0.0893523600439078
"476","PITX1",220,0.0482985729967069
"477","CTNNB1",555,0.121844127332602
"478","POP1",110,0.0241492864983535
"479","BMPR1B",720,0.158068057080132
"480","SMAD4",1029,0.225905598243688
"481","STAC3",264,0.0579582875960483
"482","FUCA1",293,0.0643249176728869
"483","RDH11",159,0.0349066959385291
"484","IFT172",523,0.114818880351262
"485","CERS3",63,0.0138309549945115
"486","SYNJ1",399,0.087596048298573
"487","IARS2",310,0.0680570801317234
"488","GPC3",767,0.168386388583974
"489","ABAT",75,0.0164654226125137
"490","BPTF",612,0.134357848518112
"491","LHX4",349,0.0766190998902305
"492","NSDHL",413,0.0906695938529089
"493","DPF2",403,0.0884742041712404
"494","MATN3",322,0.0706915477497256
"495","DYNC2H1",479,0.105159165751921
"496","CAMK2G",92,0.0201975850713502
"497","STAT5B",238,0.0522502744237102
"498","BSCL2",759,0.166630076838639
"499","MEG3",1011,0.221953896816685
"500","GABRG2",572,0.125576289791438
"501","BCOR",1068,0.234467618002195
"502","RPS28",350,0.0768386388583974
"503","EIF4A3",163,0.0357848518111965
"504","SGMS2",72,0.0158068057080132
"505","OSGEP",317,0.0695938529088913
"506","PEX26",572,0.125576289791438
"507","BBS2",336,0.0737650933040615
"508","GHRHR",33,0.00724478594950604
"509","CARS1",190,0.0417124039517014
"510","PAFAH1B1",430,0.0944017563117453
"511","BANF1",143,0.0313940724478595
"512","JAGN1",36,0.00790340285400659
"513","XRCC4",422,0.0926454445664105
"514","ERCC6",1460,0.3205268935236
"515","HNRNPU",194,0.0425905598243688
"516","POU1F1",316,0.0693743139407245
"517","KIF1A",697,0.153018660812294
"518","WDR35",749,0.16443468715697
"519","PNPLA1",70,0.0153677277716795
"520","HERC1",349,0.0766190998902305
"521","CTNND2",149,0.0327113062568606
"522","MAP3K7",780,0.171240395170143
"523","SLC35A2",385,0.0845225027442371
"524","MAF",478,0.104939626783754
"525","ARID1A",397,0.0871569703622393
"526","MBTPS2",858,0.188364434687157
"527","SHROOM4",187,0.0410537870472009
"528","DLG4",67,0.0147091108671789
"529","PDE8B",126,0.0276619099890231
"530","PARS2",278,0.0610318331503842
"531","LBR",676,0.14840834248079
"532","RIT1",346,0.07596048298573
"533","IFITM5",83,0.0182217343578485
"534","ATM",323,0.0709110867178924
"535","EVC2",516,0.113282107574094
"536","ARID1B",813,0.178485181119649
"537","KCNAB2",353,0.0774972557628979
"538","FAS",846,0.185729967069155
"539","ZMPSTE24",997,0.218880351262349
"540","SOS1",374,0.0821075740944018
"541","FGF12",217,0.0476399560922064
"542","VPS13B",492,0.10801317233809
"543","EP300",1140,0.250274423710209
"544","PHGDH",693,0.152140504939627
"545","LIPN",96,0.0210757409440176
"546","PTPN22",710,0.155872667398463
"547","TUBB4A",206,0.045225027442371
"548","TAB2",215,0.0472008781558727
"549","NUS1",238,0.0522502744237102
"550","STX16",211,0.0463227222832053
"551","SDHD",1142,0.250713501646542
"552","SRY",598,0.131284302963776
"553","GATA1",701,0.153896816684962
"554","CDH3",212,0.0465422612513721
"555","CEP152",361,0.0792535675082327
"556","IQCB1",159,0.0349066959385291
"557","RPS19",497,0.109110867178924
"558","GPR161",75,0.0164654226125137
"559","GTF2IRD1",568,0.124698133918771
"560","CHST11",74,0.0162458836443469
"561","UBA5",266,0.058397365532382
"562","BRCC3",131,0.0287596048298573
"563","CYP4F22",104,0.0228320526893524
"564","FANCF",407,0.0893523600439078
"565","CKAP2L",293,0.0643249176728869
"566","MLYCD",76,0.0166849615806806
"567","ARNT2",256,0.0562019758507135
"568","NCAPD3",117,0.0256860592755214
"569","KIF7",938,0.205927552140505
"570","IGBP1",201,0.0441273326015368
"571","KAT6B",692,0.15192096597146
"572","SNRPB",328,0.0720087815587267
"573","COMT",448,0.0983534577387486
"574","PTCD3",80,0.017563117453348
"575","SLC7A7",357,0.0783754116355653
"576","BMP2",554,0.121624588364435
"577","IKBKG",520,0.114160263446762
"578","TRAPPC14",122,0.0267837541163557
"579","WNT7A",534,0.117233809001098
"580","COL1A1",1019,0.22371020856202
"581","RPL18",275,0.0603732162458836
"582","GH1",90,0.0197585071350165
"583","FGF17",346,0.07596048298573
"584","SMC1A",1238,0.27178924259056
"585","SIN3A",556,0.122063666300768
"586","CLIP2",568,0.124698133918771
"587","SDHA",683,0.149945115257958
"588","ACTA1",1186,0.260373216245884
"589","COL3A1",791,0.173655323819978
"590","TRIP13",382,0.0838638858397366
"591","IDS",691,0.151701427003293
"592","HSPG2",737,0.161800219538968
"593","GZF1",61,0.0133918770581778
"594","RPS26",351,0.0770581778265642
"595","SMARCA2",332,0.0728869374313941
"596","NEB",760,0.166849615806806
"597","PCNT",602,0.132162458836443
"598","MC4R",72,0.0158068057080132
"599","SLC39A4",207,0.0454445664105379
"600","FOXH1",1154,0.253347969264544
"601","GRIN2D",215,0.0472008781558727
"602","ASXL1",685,0.150384193194292
"603","TBX22",210,0.0461031833150384
"604","OTX2",479,0.105159165751921
"605","ND1",786,0.172557628979144
"606","ANAPC1",330,0.0724478594950604
"607","SMARCE1",696,0.152799121844127
"608","TRAK1",205,0.0450054884742042
"609","FUT8",148,0.0324917672886937
"610","LARGE1",789,0.173216245883644
"611","CYP17A1",317,0.0695938529088913
"612","TMEM165",110,0.0241492864983535
"613","NPHP4",151,0.0331503841931943
"614","STAT3",624,0.136992316136114
"615","HNRNPA1",245,0.0537870472008782
"616","EFEMP2",279,0.061251372118551
"617","FOXE1",199,0.0436882546652031
"618","ATP6V1E1",381,0.0836443468715697
"619","PNPLA6",545,0.119648737650933
"620","RAI1",1031,0.226344676180022
"621","MYCN",546,0.1198682766191
"622","RAB11A",126,0.0276619099890231
"623","MC2R",170,0.0373216245883644
"624","SASS6",119,0.0261251372118551
"625","FLI1",498,0.109330406147091
"626","B3GLCT",694,0.152360043907794
"627","HCCS",367,0.0805708013172338
"628","PPARG",426,0.0935236004390779
"629","TP63",1572,0.345115257958288
"630","TRAIP",261,0.0572996706915477
"631","RBM8A",483,0.106037321624588
"632","RPL10",610,0.133918770581778
"633","FBLN5",379,0.083205268935236
"634","RNASEH2C",344,0.0755214050493963
"635","CHST14",463,0.101646542261251
"636","A2ML1",232,0.0509330406147091
"637","CCDC8",238,0.0522502744237102
"638","CCN6",154,0.0338090010976948
"639","ANKLE2",186,0.040834248079034
"640","WASHC4",122,0.0267837541163557
"641","TYMP",244,0.0535675082327113
"642","GINS1",68,0.0149286498353458
"643","CDC6",334,0.0733260153677278
"644","TECPR2",220,0.0482985729967069
"645","TSR2",307,0.0673984632272228
"646","SOX3",380,0.0834248079034029
"647","LRP5",761,0.167069154774973
"648","PDE4D",704,0.154555433589462
"649","RPL26",357,0.0783754116355653
"650","SLC37A4",455,0.0998902305159166
"651","TGFBR1",481,0.105598243688255
"652","SCN4A",658,0.144456641053787
"653","SP7",79,0.0173435784851811
"654","ACTG1",332,0.0728869374313941
"655","SDHC",619,0.13589462129528
"656","DNA2",212,0.0465422612513721
"657","FANCD2",591,0.129747530186608
